modulation,snr_db_in,trial,symbol_index,phase_mod_stride,in_mse,in_hinge,in_both,also_wrong_in_noproc,noise_mag_at_error,typical_noise_mag
QPSK,10,2,7861,53,False,True,False,False,0.6887526721736844,0.26288436689443956
QPSK,10,2,1463,55,True,True,True,False,0.736322828734603,0.26288436689443956
QPSK,10,2,22458,58,True,True,True,True,0.8359210982557878,0.26288436689443956
QPSK,10,2,14527,63,True,True,True,True,0.9965207090179069,0.26288436689443956
QPSK,10,2,10945,1,True,False,False,False,0.6711322575931928,0.26288436689443956
QPSK,10,2,15046,6,False,True,False,False,0.6199164776543685,0.26288436689443956
QPSK,10,2,14538,10,True,True,True,False,0.6656171581901614,0.26288436689443956
QPSK,10,2,4301,13,True,True,True,False,0.78448545893543,0.26288436689443956
QPSK,10,2,19662,14,True,False,False,False,0.7890896635947001,0.26288436689443956
QPSK,10,2,19921,17,False,True,False,True,0.9063498114489489,0.26288436689443956
QPSK,10,2,24275,19,True,True,True,False,0.7985796205079098,0.26288436689443956
QPSK,10,2,470,22,True,True,True,True,0.8140043067965362,0.26288436689443956
QPSK,10,2,14039,23,True,True,True,True,0.8131191537183823,0.26288436689443956
QPSK,10,2,18911,31,True,True,True,True,0.7408894586560633,0.26288436689443956
QPSK,10,2,17632,32,True,False,False,False,0.6924309511846343,0.26288436689443956
QPSK,10,2,14561,33,True,True,True,True,0.9445124442523883,0.26288436689443956
QPSK,10,2,5089,33,False,True,False,True,0.7274220151603588,0.26288436689443956
QPSK,10,2,10987,43,True,False,False,False,0.691293119022738,0.26288436689443956
QPSK,10,2,15340,44,True,True,True,False,0.7752632969076044,0.26288436689443956
QPSK,10,2,17388,44,True,True,True,True,0.7698517620766078,0.26288436689443956
QPSK,10,2,9969,49,False,True,False,False,0.6868878672382546,0.26288436689443956
QPSK,10,2,9983,63,False,True,False,False,0.5980337573108379,0.26288436689443956
QPSK,10,3,17158,6,True,True,True,True,0.8072106358391448,0.2642252534279714
QPSK,10,3,11531,11,True,True,True,True,0.8585615592636692,0.2642252534279714
QPSK,10,3,780,12,True,False,False,False,0.6912044358782088,0.2642252534279714
QPSK,10,3,19471,15,True,False,False,True,0.8104585860464474,0.2642252534279714
QPSK,10,3,4372,20,True,False,False,False,0.6045106402820617,0.2642252534279714
QPSK,10,3,24343,23,False,True,False,False,0.6806718639316465,0.2642252534279714
QPSK,10,3,18969,25,True,False,False,False,0.658215214296973,0.2642252534279714
QPSK,10,3,1563,27,True,False,False,True,0.7644678001150822,0.2642252534279714
QPSK,10,3,6429,29,True,False,False,False,0.6876821770236564,0.2642252534279714
QPSK,10,3,24097,33,True,True,True,False,0.7481112842104298,0.2642252534279714
QPSK,10,3,802,34,True,True,True,True,0.7418527636730674,0.2642252534279714
QPSK,10,3,19234,34,False,True,False,False,0.700454924662094,0.2642252534279714
QPSK,10,3,4913,49,True,True,True,False,0.7142284587592351,0.2642252534279714
QPSK,10,3,7730,50,False,True,False,True,0.7389488206089511,0.2642252534279714
QPSK,10,3,23095,55,False,True,False,False,0.6646039213745967,0.2642252534279714
QPSK,10,3,19259,59,False,True,False,False,0.6442598301866229,0.2642252534279714
QPSK,10,3,2622,62,True,True,True,True,0.8084860177392468,0.2642252534279714
QPSK,10,3,3914,10,True,False,False,False,0.7608202653474984,0.2642252534279714
QPSK,10,3,3663,15,True,False,False,False,0.7004714392976977,0.2642252534279714
QPSK,10,3,848,16,False,True,False,True,0.7462194463908396,0.2642252534279714
QPSK,10,3,9042,18,True,True,True,True,0.8044335666675326,0.2642252534279714
QPSK,10,3,12371,19,False,True,False,False,0.619231838337503,0.2642252534279714
QPSK,10,3,84,20,False,True,False,False,0.825805795394054,0.2642252534279714
QPSK,10,3,86,22,True,False,False,True,0.7232938420005801,0.2642252534279714
QPSK,10,3,23895,23,False,True,False,False,0.7625886339351332,0.2642252534279714
QPSK,10,3,16219,27,True,True,True,True,0.828878091169205,0.2642252534279714
