modulation,channel_mode,trial,snr_db_in,method,snr_db_out_vs_postisi_ref,ber,errors,bits
BPSK,sinusoidal,4,0,LMS-Frozen,1.5502661642290492,0.11752,2938,25000
BPSK,sinusoidal,4,0,LMS-DD,-0.8581571049609884,0.4712,11780,25000
BPSK,sinusoidal,4,0,NLMS-Frozen,1.5585338253321148,0.11864,2966,25000
BPSK,sinusoidal,4,0,NLMS-DD,-0.9350764124543147,0.48532,12133,25000
BPSK,sinusoidal,4,5,No Processing,5.041160571664047,0.00924,231,25000
BPSK,sinusoidal,4,5,LMS-Frozen,2.7235687939066224,0.02516,629,25000
BPSK,sinusoidal,4,5,LMS-DD,-1.025150281248021,0.47528,11882,25000
BPSK,sinusoidal,4,5,NLMS-Frozen,2.686479245369431,0.0252,630,25000
BPSK,sinusoidal,4,5,NLMS-DD,-1.1870594371968626,0.48608,12152,25000
BPSK,sinusoidal,4,10,No Processing,9.986836923487942,0.0,0,25000
BPSK,sinusoidal,4,10,LMS-Frozen,3.8686624937673026,0.00012,3,25000
BPSK,sinusoidal,4,10,LMS-DD,-1.1445384176467939,0.4812,12030,25000
BPSK,sinusoidal,4,10,NLMS-Frozen,3.8816468391722263,0.00012,3,25000
BPSK,sinusoidal,4,10,NLMS-DD,-1.2245104251013095,0.48364,12091,25000
BPSK,sinusoidal,4,15,No Processing,15.054626615680922,0.0,0,25000
BPSK,sinusoidal,4,15,LMS-Frozen,4.929122583067049,4e-05,1,25000
BPSK,sinusoidal,4,15,LMS-DD,-1.1495367118444388,0.47588,11897,25000
BPSK,sinusoidal,4,15,NLMS-Frozen,4.873428488184238,4e-05,1,25000
BPSK,sinusoidal,4,15,NLMS-DD,-1.1759720441380943,0.47384,11846,25000
BPSK,random_walk,0,-5,No Processing,-4.938398990473065,0.24804,6201,25000
BPSK,random_walk,0,-5,LMS-Frozen,0.41311126204152815,0.30328,7582,25000
BPSK,random_walk,0,-5,LMS-DD,-0.48707366752060505,0.48744,12186,25000
BPSK,random_walk,0,-5,NLMS-Frozen,0.4165266473847634,0.30172,7543,25000
BPSK,random_walk,0,-5,NLMS-DD,-0.4293281385583276,0.48572,12143,25000
BPSK,random_walk,0,0,No Processing,0.011611314299341988,0.1338,3345,25000
BPSK,random_walk,0,0,LMS-Frozen,1.0471332345833555,0.17504,4376,25000
BPSK,random_walk,0,0,LMS-DD,-0.7277179745270261,0.49404,12351,25000
BPSK,random_walk,0,0,NLMS-Frozen,1.0026070775880416,0.17368,4342,25000
BPSK,random_walk,0,0,NLMS-DD,-0.7469324476053105,0.49668,12417,25000
BPSK,random_walk,0,5,No Processing,5.067145332369925,0.04536,1134,25000
BPSK,random_walk,0,5,LMS-Frozen,2.4227919464609378,0.0702,1755,25000
BPSK,random_walk,0,5,LMS-DD,-0.8357992673529967,0.48424,12106,25000
BPSK,random_walk,0,5,NLMS-Frozen,2.3344821128840696,0.07392,1848,25000
