modulation,snr_db_in,method,snr_db_out_vs_postisi_ref_mean,snr_db_out_vs_postisi_ref_std,ber_mean,ber_std,ber_total_errors,ber_total_bits,ber_95ci_upper_bound,runtime_sec_mean,n_trials
QPSK,-10,Hybrid,0.28,0.03,0.38965900000000003,0.0025028511741611837,779318,2000000,,3.471,10
QPSK,-5,Hybrid,0.957,0.076,0.299958,0.0035202891926658497,599916,2000000,,3.4785,10
QPSK,0,Hybrid,2.544,0.043,0.16955250000000002,0.0019461310978451567,339105,2000000,,3.5052,10
QPSK,5,Hybrid,5.36,0.061,0.0450155,0.000804249494870839,90031,2000000,,3.5573,10
QPSK,10,Hybrid,7.896,0.063,0.0016575,0.0001110236461300024,3315,2000000,,3.4839,10
QPSK,15,Hybrid,8.656,0.019,6.000000000000001e-06,4.358898943540674e-06,12,2000000,,3.4899,10
QPSK,20,Hybrid,8.745,0.012,5.500000000000001e-06,3.5000000000000004e-06,11,2000000,,3.5177,10
QPSK,-10,MMSE (Genie),0.367,0.004,0.37570950000000003,0.0009357495658561683,751419,2000000,,0.1265,10
QPSK,-5,MMSE (Genie),1.07,0.004,0.28867,0.0009447751055145359,577340,2000000,,0.1228,10
QPSK,0,MMSE (Genie),2.629,0.008,0.169293,0.0008779669697659461,338586,2000000,,0.124,10
QPSK,5,MMSE (Genie),4.939,0.011,0.0662525,0.0005705140226146949,132505,2000000,,0.1257,10
QPSK,10,MMSE (Genie),6.987,0.007,0.0192525,0.0002248805238343241,38505,2000000,,0.1293,10
QPSK,15,MMSE (Genie),8.138,0.011,0.004156000000000001,0.0001505456741324704,8312,2000000,,0.1229,10
QPSK,20,MMSE (Genie),8.598,0.01,0.00049,5.3009433122794297e-05,980,2000000,,0.1245,10
