modulation,severity,snr_db_in,method,ber,errors,bits
QPSK,0.25,10,CNN,0.0015266666666666666,458,300000
QPSK,0.25,20,CNN,0.0,0,300000
QPSK,0.25,-10,MMSE (Genie),0.37307,111921,300000
QPSK,0.25,0,MMSE (Genie),0.16055666666666665,48167,300000
QPSK,0.25,10,MMSE (Genie),0.0018366666666666666,551,300000
QPSK,0.25,20,MMSE (Genie),0.0,0,300000
QPSK,0.5,-10,No Processing,0.37495666666666666,112487,300000
QPSK,0.5,0,No Processing,0.16601,49803,300000
QPSK,0.5,10,No Processing,0.0024733333333333335,742,300000
QPSK,0.5,20,No Processing,0.0,0,300000
QPSK,0.5,-10,LMS,0.39521333333333336,118564,300000
QPSK,0.5,0,LMS,0.19117666666666666,57353,300000
QPSK,0.5,10,LMS,0.0022633333333333333,679,300000
QPSK,0.5,20,LMS,1.6666666666666667e-05,5,300000
QPSK,0.5,-10,NLMS,0.3958933333333333,118768,300000
QPSK,0.5,0,NLMS,0.19205666666666665,57617,300000
QPSK,0.5,10,NLMS,0.0027133333333333332,814,300000
QPSK,0.5,20,NLMS,6.666666666666667e-06,2,300000
QPSK,0.5,-10,CNN,0.38028666666666666,114086,300000
QPSK,0.5,0,CNN,0.16722333333333333,50167,300000
QPSK,0.5,10,CNN,0.00167,501,300000
QPSK,0.5,20,CNN,0.0,0,300000
QPSK,0.5,-10,MMSE (Genie),0.37334333333333336,112003,300000
QPSK,0.5,0,MMSE (Genie),0.16353333333333334,49060,300000
QPSK,0.5,10,MMSE (Genie),0.005043333333333334,1513,300000
QPSK,0.5,20,MMSE (Genie),0.0,0,300000
QPSK,0.75,-10,No Processing,0.37663,112989,300000
QPSK,0.75,0,No Processing,0.17177666666666666,51533,300000
QPSK,0.75,10,No Processing,0.004996666666666667,1499,300000
QPSK,0.75,20,No Processing,0.0,0,300000
QPSK,0.75,-10,LMS,0.39637666666666665,118913,300000
QPSK,0.75,0,LMS,0.19378333333333334,58135,300000
QPSK,0.75,10,LMS,0.00275,825,300000
QPSK,0.75,20,LMS,1.6666666666666667e-05,5,300000
QPSK,0.75,-10,NLMS,0.39716,119148,300000
QPSK,0.75,0,NLMS,0.19475,58425,300000
QPSK,0.75,10,NLMS,0.00323,969,300000
QPSK,0.75,20,NLMS,6.666666666666667e-06,2,300000
QPSK,0.75,-10,CNN,0.3811466666666667,114344,300000
QPSK,0.75,0,CNN,0.16596,49788,300000
QPSK,0.75,10,CNN,0.0015866666666666666,476,300000
QPSK,0.75,20,CNN,0.0,0,300000
QPSK,0.75,-10,MMSE (Genie),0.3733066666666667,111992,300000
QPSK,0.75,0,MMSE (Genie),0.16739,50217,300000
QPSK,0.75,10,MMSE (Genie),0.011063333333333333,3319,300000
QPSK,0.75,20,MMSE (Genie),3.3333333333333333e-06,1,300000
QPSK,1.0,-10,No Processing,0.37851,113553,300000
QPSK,1.0,0,No Processing,0.17825666666666667,53477,300000
QPSK,1.0,10,No Processing,0.00909,2727,300000
QPSK,1.0,20,No Processing,0.0,0,300000
QPSK,1.0,-10,LMS,0.39714666666666665,119144,300000
QPSK,1.0,0,LMS,0.19658333333333333,58975,300000
QPSK,1.0,10,LMS,0.0033966666666666668,1019,300000
QPSK,1.0,20,LMS,1e-05,3,300000
QPSK,1.0,-10,NLMS,0.39810666666666666,119432,300000
QPSK,1.0,0,NLMS,0.19744,59232,300000
QPSK,1.0,10,NLMS,0.003756666666666667,1127,300000
QPSK,1.0,20,NLMS,6.666666666666667e-06,2,300000
QPSK,1.0,-10,CNN,0.38216666666666665,114650,300000
QPSK,1.0,0,CNN,0.16668,50004,300000
QPSK,1.0,10,CNN,0.00162,486,300000
QPSK,1.0,20,CNN,0.0,0,300000
QPSK,1.0,-10,MMSE (Genie),0.3739733333333333,112192,300000
QPSK,1.0,0,MMSE (Genie),0.1705,51150,300000
QPSK,1.0,10,MMSE (Genie),0.018893333333333335,5668,300000
QPSK,1.0,20,MMSE (Genie),0.00046333333333333334,139,300000
