modulation,channel,isi_energy,snr_db_in,method,ber,errors,bits
QPSK,matched (train==test),0.27,20,NLMS,6.666666666666667e-06,2,300000
QPSK,matched (train==test),0.27,0,CNN,0.16777,50331,300000
QPSK,matched (train==test),0.27,10,CNN,0.00165,495,300000
QPSK,matched (train==test),0.27,20,CNN,0.0,0,300000
QPSK,matched (train==test),0.27,0,MMSE (Genie),0.17042333333333334,51127,300000
QPSK,matched (train==test),0.27,10,MMSE (Genie),0.018613333333333332,5584,300000
QPSK,matched (train==test),0.27,20,MMSE (Genie),0.00045,135,300000
QPSK,rotated phase (2-tap),0.2125,0,No Processing,0.20508333333333334,61525,300000
QPSK,rotated phase (2-tap),0.2125,10,No Processing,0.04082,12246,300000
QPSK,rotated phase (2-tap),0.2125,20,No Processing,0.0027966666666666665,839,300000
QPSK,rotated phase (2-tap),0.2125,0,LMS,0.18907666666666667,56723,300000
QPSK,rotated phase (2-tap),0.2125,10,LMS,0.0024666666666666665,740,300000
QPSK,rotated phase (2-tap),0.2125,20,LMS,2.6666666666666667e-05,8,300000
QPSK,rotated phase (2-tap),0.2125,0,NLMS,0.18953333333333333,56860,300000
QPSK,rotated phase (2-tap),0.2125,10,NLMS,0.003353333333333333,1006,300000
QPSK,rotated phase (2-tap),0.2125,20,NLMS,6.666666666666667e-06,2,300000
QPSK,rotated phase (2-tap),0.2125,0,CNN,0.18547333333333332,55642,300000
QPSK,rotated phase (2-tap),0.2125,10,CNN,0.008513333333333333,2554,300000
QPSK,rotated phase (2-tap),0.2125,20,CNN,3.3333333333333333e-06,1,300000
QPSK,rotated phase (2-tap),0.2125,0,MMSE (Genie),0.18904666666666667,56714,300000
QPSK,rotated phase (2-tap),0.2125,10,MMSE (Genie),0.08777,26331,300000
QPSK,rotated phase (2-tap),0.2125,20,MMSE (Genie),0.08035333333333333,24106,300000
QPSK,longer delay spread (4-tap),0.1797,0,No Processing,0.1617,48510,300000
QPSK,longer delay spread (4-tap),0.1797,10,No Processing,0.0013966666666666667,419,300000
QPSK,longer delay spread (4-tap),0.1797,20,No Processing,0.0,0,300000
QPSK,longer delay spread (4-tap),0.1797,0,LMS,0.19388333333333332,58165,300000
QPSK,longer delay spread (4-tap),0.1797,10,LMS,0.00276,828,300000
QPSK,longer delay spread (4-tap),0.1797,20,LMS,6.666666666666667e-06,2,300000
QPSK,longer delay spread (4-tap),0.1797,0,NLMS,0.19501,58503,300000
QPSK,longer delay spread (4-tap),0.1797,10,NLMS,0.0031,930,300000
QPSK,longer delay spread (4-tap),0.1797,20,NLMS,6.666666666666667e-06,2,300000
QPSK,longer delay spread (4-tap),0.1797,0,CNN,0.18947,56841,300000
QPSK,longer delay spread (4-tap),0.1797,10,CNN,0.01165,3495,300000
QPSK,longer delay spread (4-tap),0.1797,20,CNN,0.0,0,300000
